,ID,direct_trip,number_of_adults,number_of_children,type_of_meal_plan,people_with_disabilities,class,year,month,date,repeated_guest,np_cancellations,np_not_canceled,price,status
31,DZ00032,Yes,2,1,plan 1,0,Type 1,2023,11,13,No,0,0,895.0,Not_Canceled
32,DZ00033,Yes,0,4,plan 1,0,Type 2,2023,12,7,No,0,0,844.4,Not_Canceled
33,DZ00034,No,2,2,not selected,0,Type 1,2023,1,9,No,0,0,715.0,Not_Canceled
34,DZ00035,No,2,1,plan 1,0,Type 1,2023,10,7,No,0,0,875.0,Not_Canceled
35,DZ00036,Yes,2,0,not selected,1,Type 1,2023,4,27,No,0,0,1170.0,Not_Canceled
36,DZ00037,No,1,2,plan 1,0,Type 1,2023,6,19,No,0,0,830.0,Canceled
37,DZ00038,No,2,2,plan 1,0,Type 1,2022,10,17,No,0,0,690.0,Not_Canceled
38,DZ00039,No,2,1,not selected,0,Type 1,2023,11,19,No,0,0,657.5,Canceled
39,DZ00040,Yes,2,0,plan 1,0,Type 4,2023,7,30,No,0,0,1238.0,Canceled
41,DZ00042,No,2,0,plan 1,0,Type 1,2023,6,21,No,0,0,1040.0,Not_Canceled
42,DZ00043,Yes,3,2,plan 1,0,Type 1,2023,4,10,No,0,0,1238.0,Not_Canceled
43,DZ00044,No,2,2,not selected,0,Type 1,2023,6,27,No,0,0,1001.0,Canceled
44,DZ00045,No,2,0,plan 1,0,Type 4,2022,11,18,No,0,0,620.0,Not_Canceled
45,DZ00046,No,2,2,plan 1,0,Type 1,2022,12,29,No,0,0,770.0,Not_Canceled
46,DZ00047,No,1,2,plan 1,0,Type 1,2022,11,20,No,0,0,750.0,Not_Canceled
47,DZ00048,No,2,2,plan 2,0,Type 1,2023,4,6,No,0,0,1060.0,Not_Canceled
48,DZ00049,Yes,2,2,not selected,0,Type 1,2023,11,1,No,0,0,812.0,Not_Canceled
49,DZ00050,No,1,1,plan 1,0,Type 4,2023,12,29,No,0,0,1278.0,Not_Canceled
50,DZ00051,Yes,1,1,not selected,0,Type 1,2023,5,30,No,0,0,899.5,Not_Canceled
51,DZ00052,Yes,2,2,plan 2,0,Type 1,2023,4,22,No,0,0,1080.0,Canceled
52,DZ00053,No,1,2,plan 1,0,Type 1,2023,5,16,No,0,0,1386.6999999999998,Not_Canceled
53,DZ00054,Yes,2,1,plan 1,0,Type 4,2022,11,11,No,0,0,620.0,Not_Canceled
54,DZ00055,Yes,2,0,not selected,0,Type 1,2023,6,13,No,0,0,910.0,Not_Canceled
55,DZ00056,Yes,2,2,plan 1,0,Type 1,2023,5,19,No,0,0,1380.0,Not_Canceled
56,DZ00057,Yes,2,2,not selected,0,Type 1,2023,7,28,No,0,0,965.0,Not_Canceled
57,DZ00058,No,2,0,plan 1,0,Type 1,2023,12,26,No,0,0,956.0,Not_Canceled
58,DZ00059,No,2,1,plan 1,0,Type 4,2023,4,20,No,0,0,1226.0,Canceled
59,DZ00060,Yes,2,2,plan 1,0,Type 4,2023,4,6,No,0,0,1013.0,Not_Canceled
60,DZ00061,Yes,2,4,plan 1,1,Type 6,2023,9,2,No,0,0,2600.0,Not_Canceled
62,DZ00063,Yes,1,2,plan 1,0,Type 1,2023,6,24,No,0,0,970.0,Not_Canceled
63,DZ00064,No,1,1,plan 1,0,Type 1,2022,9,10,No,0,0,20.0,Not_Canceled
64,DZ00065,No,2,2,plan 1,0,Type 1,2023,12,18,No,0,0,770.0,Not_Canceled
65,DZ00066,No,2,2,plan 1,0,Type 4,2023,10,5,No,0,0,1595.0,Not_Canceled
66,DZ00067,Yes,2,2,plan 1,0,Type 4,2023,6,3,No,0,0,997.0,Not_Canceled
67,DZ00068,Yes,2,2,plan 1,0,Type 4,2023,4,15,No,0,0,1440.0,Canceled
68,DZ00069,No,2,0,plan 1,0,Type 1,2023,4,6,No,0,0,820.0,Not_Canceled
69,DZ00070,No,2,1,plan 1,0,Type 1,2023,4,25,No,0,0,875.0,Not_Canceled
71,DZ00072,No,2,2,not selected,0,Type 1,2023,11,14,No,0,0,900.0,Not_Canceled
72,DZ00073,Yes,2,2,plan 1,1,Type 1,2023,8,29,No,0,0,1248.5,Not_Canceled
73,DZ00074,Yes,2,2,plan 1,0,Type 1,2023,6,3,No,0,0,1020.0,Canceled
74,DZ00075,Yes,2,2,plan 1,0,Type 4,2022,10,25,No,0,0,770.0,Not_Canceled
76,DZ00077,Yes,3,1,plan 1,0,Type 4,2023,12,31,No,0,0,1235.0,Not_Canceled
77,DZ00078,No,2,1,plan 1,0,Type 1,2023,6,27,No,0,0,1139.0,Not_Canceled
78,DZ00079,Yes,3,0,plan 1,0,Type 4,2023,6,28,No,0,0,1235.5,Canceled
79,DZ00080,Yes,2,1,plan 1,0,Type 1,2023,3,29,No,0,0,770.0,Not_Canceled
80,DZ00081,Yes,2,4,plan 1,0,Type 6,2023,4,1,No,0,0,1613.0,Canceled
81,DZ00082,No,2,0,plan 1,0,Type 4,2023,10,11,No,0,0,1343.0,Canceled
82,DZ00083,No,2,1,not selected,0,Type 1,2023,12,25,No,0,0,900.0,Not_Canceled
84,DZ00085,No,2,1,plan 1,1,Type 4,2023,3,4,No,0,0,1003.0,Not_Canceled
85,DZ00086,Yes,1,2,plan 1,0,Type 1,2023,10,17,No,0,0,1520.0,Not_Canceled
87,DZ00088,Yes,1,0,plan 1,0,Type 1,2023,6,15,No,0,0,1320.0,Canceled
88,DZ00089,Yes,2,1,not selected,0,Type 1,2023,12,10,Yes,0,5,970.0,Not_Canceled
89,DZ00090,Yes,2,0,plan 1,0,Type 5,2023,8,9,No,0,0,1155.6,Not_Canceled
90,DZ00091,Yes,2,0,not selected,0,Type 1,2023,5,5,No,0,0,1035.8,Not_Canceled
91,DZ00092,Yes,2,2,plan 1,1,Type 1,2023,3,18,No,0,0,1073.0,Not_Canceled
93,DZ00094,Yes,2,1,plan 1,0,Type 4,2023,5,19,No,0,0,1514.0,Not_Canceled
94,DZ00095,No,2,1,plan 1,0,Type 1,2023,8,30,No,0,0,1135.9,Canceled
95,DZ00096,Yes,2,3,plan 1,1,Type 1,2023,8,4,No,0,0,1325.0,Not_Canceled
97,DZ00098,Yes,2,2,plan 1,0,Type 1,2023,4,13,No,0,0,929.5,Not_Canceled
98,DZ00099,Yes,2,0,plan 1,0,Type 1,2023,11,17,No,0,0,780.8,Not_Canceled
99,DZ00100,No,2,3,plan 1,0,Type 6,2023,12,22,No,0,0,1589.0,Not_Canceled
100,DZ00101,No,2,2,not selected,0,Type 1,2023,10,23,No,0,0,875.0,Not_Canceled
101,DZ00102,No,3,0,plan 1,0,Type 4,2023,5,13,No,0,0,1613.0,Not_Canceled
102,DZ00103,No,1,0,plan 1,0,Type 1,2023,12,13,No,0,0,768.0,Not_Canceled
103,DZ00104,Yes,2,2,plan 1,0,Type 1,2022,10,31,No,0,0,970.0,Not_Canceled
104,DZ00105,Yes,2,2,plan 1,0,Type 1,2022,10,8,No,0,0,1090.0,Not_Canceled
105,DZ00106,Yes,2,2,plan 1,0,Type 1,2023,2,16,No,0,0,660.0,Not_Canceled
106,DZ00107,No,2,2,plan 1,1,Type 1,2022,11,2,No,0,0,849.5,Not_Canceled
107,DZ00108,Yes,2,1,plan 1,0,Type 4,2022,9,21,No,0,0,1570.0,Not_Canceled
108,DZ00109,No,2,1,not selected,0,Type 1,2023,6,30,No,0,0,1036.8000000000002,Not_Canceled
109,DZ00110,Yes,2,1,plan 1,0,Type 1,2022,9,5,No,0,0,965.0,Not_Canceled
110,DZ00111,No,2,2,plan 1,0,Type 1,2023,9,30,No,0,0,1199.0,Canceled
111,DZ00112,No,2,0,not selected,0,Type 1,2023,6,27,No,0,0,1290.0,Not_Canceled
112,DZ00113,No,2,2,not selected,0,Type 1,2023,6,16,No,0,0,1181.0,Not_Canceled
113,DZ00114,Yes,2,2,plan 1,0,Type 1,2023,6,30,No,0,0,1199.0,Not_Canceled
114,DZ00115,Yes,2,4,plan 1,0,Type 2,2023,6,26,No,0,0,1862.4,Canceled
115,DZ00116,No,3,0,plan 1,1,Type 4,2023,8,13,No,0,0,1577.0,Not_Canceled
116,DZ00117,Yes,3,1,plan 1,0,Type 4,2023,4,22,No,0,0,1377.6,Canceled
117,DZ00118,No,2,1,plan 1,0,Type 1,2023,11,12,No,0,0,1048.3,Not_Canceled
118,DZ00119,Yes,2,0,plan 1,0,Type 1,2023,4,29,No,0,0,670.0,Canceled
120,DZ00121,No,2,0,plan 1,0,Type 1,2023,9,1,No,0,0,1082.0,Canceled
121,DZ00122,No,2,2,plan 2,0,Type 1,2023,9,16,No,0,0,605.0,Not_Canceled
122,DZ00123,No,2,2,plan 1,0,Type 1,2023,3,10,No,0,0,759.5,Canceled
123,DZ00124,No,2,2,plan 1,0,Type 1,2023,5,5,No,0,0,1073.0,Not_Canceled
124,DZ00125,Yes,3,1,plan 1,0,Type 4,2023,4,24,No,0,0,1352.0,Not_Canceled
125,DZ00126,Yes,2,0,plan 1,0,Type 1,2023,3,30,No,0,0,875.0,Not_Canceled
126,DZ00127,No,1,2,plan 1,0,Type 1,2023,11,3,No,0,0,1140.0,Canceled
127,DZ00128,Yes,2,2,plan 1,0,Type 6,2023,10,14,No,0,0,1928.0,Canceled
128,DZ00129,No,1,1,plan 1,0,Type 1,2023,6,5,No,0,0,1120.0,Not_Canceled
129,DZ00130,No,2,1,plan 1,0,Type 4,2023,7,13,No,0,0,934.8,Not_Canceled
131,DZ00132,Yes,1,1,plan 1,0,Type 1,2023,10,17,No,0,0,1310.0,Not_Canceled
132,DZ00133,No,2,2,not selected,0,Type 1,2023,12,28,No,0,0,725.5,Canceled
133,DZ00134,Yes,2,0,plan 1,0,Type 4,2022,10,19,No,0,0,770.0,Not_Canceled
134,DZ00135,Yes,1,1,not selected,0,Type 1,2023,3,29,No,0,0,742.5,Not_Canceled
135,DZ00136,Yes,2,0,plan 1,0,Type 4,2022,10,9,No,0,0,1570.0,Not_Canceled
136,DZ00137,Yes,2,2,plan 1,0,Type 1,2023,7,25,No,0,0,1235.0,Canceled
137,DZ00138,No,2,0,plan 1,0,Type 1,2023,6,28,No,0,0,929.5,Not_Canceled
138,DZ00139,No,1,2,plan 1,0,Type 1,2023,5,22,No,0,0,1116.5,Not_Canceled
140,DZ00141,No,1,2,plan 1,0,Type 1,2023,5,9,No,0,0,920.0,Not_Canceled
141,DZ00142,No,2,2,plan 1,0,Type 1,2023,6,17,No,0,0,770.0,Canceled
142,DZ00143,No,2,1,plan 1,0,Type 1,2023,11,18,No,0,0,1130.0,Canceled
143,DZ00144,Yes,2,0,plan 1,0,Type 1,2023,10,30,No,0,0,887.0,Not_Canceled
145,DZ00146,Yes,1,2,plan 1,0,Type 1,2023,6,1,Yes,3,5,20.0,Not_Canceled
146,DZ00147,No,2,0,not selected,0,Type 1,2023,5,4,No,0,0,1035.8,Not_Canceled
147,DZ00148,No,2,0,not selected,0,Type 1,2023,4,8,No,0,0,609.0,Not_Canceled
148,DZ00149,Yes,2,0,plan 1,0,Type 1,2023,6,8,No,0,0,1220.0,Not_Canceled
149,DZ00150,Yes,2,0,plan 1,0,Type 4,2023,4,7,No,0,0,1091.0,Canceled
150,DZ00151,Yes,2,2,plan 1,0,Type 1,2023,5,2,No,0,0,1289.0,Not_Canceled
151,DZ00152,No,2,2,plan 1,0,Type 4,2023,9,29,No,0,0,1415.0,Canceled
152,DZ00153,No,2,2,not selected,0,Type 1,2023,4,4,No,0,0,827.5,Not_Canceled
153,DZ00154,No,2,1,plan 2,0,Type 1,2022,7,17,No,0,0,1110.0,Canceled
154,DZ00155,No,2,2,plan 2,0,Type 1,2023,4,6,No,0,0,1060.0,Not_Canceled
155,DZ00156,No,1,2,plan 1,0,Type 1,2023,11,1,Yes,1,5,670.0,Not_Canceled
156,DZ00157,Yes,2,0,plan 1,0,Type 4,2023,5,24,No,0,0,1424.0,Not_Canceled
157,DZ00158,No,2,0,plan 1,0,Type 1,2023,2,17,No,0,0,770.0,Not_Canceled
158,DZ00159,No,2,1,not selected,0,Type 1,2023,4,14,No,0,0,965.0,Canceled
159,DZ00160,No,2,1,not selected,0,Type 1,2023,6,5,No,0,0,1110.0,Not_Canceled
160,DZ00161,Yes,2,1,plan 1,0,Type 1,2023,11,12,No,0,0,1070.0,Not_Canceled
161,DZ00162,No,2,1,plan 1,0,Type 4,2023,4,17,No,0,0,1099.5,Not_Canceled
162,DZ00163,Yes,3,2,plan 1,0,Type 7,2023,10,7,No,0,0,2176.0,Not_Canceled
163,DZ00164,No,2,0,not selected,0,Type 1,2023,8,1,No,0,0,875.0,Not_Canceled
164,DZ00165,No,2,1,plan 1,0,Type 1,2023,7,12,No,0,0,1073.0,Not_Canceled
165,DZ00166,Yes,1,2,plan 2,0,Type 1,2023,1,2,No,0,0,30.0,Not_Canceled
166,DZ00167,Yes,2,1,plan 1,0,Type 4,2023,6,15,No,0,0,1580.0,Canceled
167,DZ00168,No,1,2,plan 1,0,Type 1,2023,11,16,No,0,0,751.5,Not_Canceled
168,DZ00169,No,2,2,plan 1,0,Type 1,2023,9,19,No,0,0,1120.0,Canceled
169,DZ00170,Yes,2,3,not selected,0,Type 1,2022,9,13,No,0,0,894.0,Not_Canceled
170,DZ00171,Yes,2,1,plan 1,0,Type 1,2023,9,15,No,0,0,1220.0,Canceled
171,DZ00172,No,2,2,not selected,0,Type 1,2023,12,16,No,0,0,812.0,Canceled
172,DZ00173,Yes,2,2,plan 1,0,Type 1,2023,6,30,No,0,0,929.5,Not_Canceled
173,DZ00174,Yes,2,0,plan 1,0,Type 1,2023,10,18,No,0,0,934.8,Not_Canceled
174,DZ00175,Yes,2,1,plan 1,0,Type 1,2023,11,5,No,0,0,1520.0,Canceled
175,DZ00176,Yes,2,0,not selected,0,Type 1,2023,3,22,No,0,0,910.0,Not_Canceled
176,DZ00177,No,2,1,not selected,0,Type 1,2023,8,17,No,0,0,934.3,Not_Canceled
177,DZ00178,No,2,1,plan 1,0,Type 1,2023,5,20,No,0,0,1420.0,Not_Canceled
178,DZ00179,No,1,3,not selected,0,Type 1,2022,10,24,No,0,0,897.8,Not_Canceled
179,DZ00180,Yes,2,2,plan 2,0,Type 1,2023,7,21,No,0,0,1170.0,Canceled
180,DZ00181,No,2,2,plan 1,0,Type 1,2022,9,9,No,0,0,828.5,Not_Canceled
181,DZ00182,Yes,2,2,plan 1,0,Type 1,2023,3,31,No,0,0,844.5,Not_Canceled
182,DZ00183,Yes,2,2,not selected,0,Type 1,2023,10,11,No,0,0,1100.0,Canceled
183,DZ00184,Yes,2,0,plan 1,0,Type 4,2023,4,2,No,0,0,983.0,Not_Canceled
184,DZ00185,Yes,2,2,plan 1,0,Type 1,2023,8,22,No,0,0,1014.5,Canceled
185,DZ00186,Yes,2,1,plan 1,0,Type 4,2023,5,13,No,0,0,1424.0,Not_Canceled
186,DZ00187,Yes,2,0,plan 1,0,Type 1,2023,8,8,No,0,0,742.5,Not_Canceled
187,DZ00188,No,2,1,plan 1,0,Type 4,2023,8,15,No,0,0,1280.0,Not_Canceled
188,DZ00189,Yes,2,1,plan 1,0,Type 1,2023,8,19,No,0,0,800.0,Canceled
189,DZ00190,No,1,1,plan 1,0,Type 4,2023,11,6,No,0,0,1486.0,Not_Canceled
190,DZ00191,No,2,0,plan 1,0,Type 1,2023,10,10,No,0,0,1208.0,Canceled
191,DZ00192,No,1,1,plan 1,0,Type 1,2023,10,6,No,0,0,1470.0,Canceled
192,DZ00193,No,2,0,plan 1,0,Type 1,2023,4,6,No,0,0,865.8,Canceled
193,DZ00194,No,2,0,plan 2,0,Type 1,2023,3,25,No,0,0,1320.0,Canceled
194,DZ00195,No,2,2,plan 1,0,Type 4,2023,8,3,No,0,0,1208.8,Canceled
195,DZ00196,Yes,2,0,plan 1,0,Type 1,2023,5,30,No,0,0,1035.1999999999998,Not_Canceled
197,DZ00198,Yes,2,1,plan 1,0,Type 1,2023,3,20,No,0,0,600.0,Not_Canceled
198,DZ00199,Yes,2,0,plan 1,0,Type 1,2023,3,23,No,0,0,635.0,Not_Canceled
199,DZ00200,Yes,2,2,plan 2,0,Type 1,2023,9,26,No,0,0,1090.0,Canceled
201,DZ00202,Yes,2,1,plan 1,0,Type 1,2022,7,16,No,0,0,785.0,Canceled
202,DZ00203,No,2,2,not selected,0,Type 1,2023,12,16,No,0,0,657.5,Canceled
203,DZ00204,Yes,2,0,plan 1,0,Type 1,2023,5,13,No,0,0,970.0,Canceled
204,DZ00205,Yes,2,0,plan 1,0,Type 1,2023,11,19,No,0,0,770.0,Not_Canceled
205,DZ00206,Yes,2,0,plan 1,0,Type 1,2023,9,8,No,0,0,720.0,Canceled
206,DZ00207,Yes,2,0,plan 1,0,Type 1,2023,5,2,No,0,0,1035.8,Not_Canceled
207,DZ00208,Yes,2,2,plan 1,0,Type 1,2023,8,21,No,0,0,870.0,Not_Canceled
208,DZ00209,No,2,2,plan 1,0,Type 1,2023,12,3,No,0,0,1003.9,Not_Canceled
209,DZ00210,No,1,0,plan 1,0,Type 1,2023,2,27,No,0,0,20.0,Not_Canceled
210,DZ00211,Yes,2,2,plan 1,0,Type 1,2022,9,22,No,0,0,1080.6999999999998,Not_Canceled
211,DZ00212,No,2,1,plan 1,0,Type 1,2023,7,18,No,0,0,1070.0,Not_Canceled
212,DZ00213,Yes,2,2,plan 1,0,Type 1,2022,9,22,No,0,0,1470.0,Not_Canceled
213,DZ00214,No,3,0,plan 1,0,Type 1,2023,8,13,No,0,0,1080.3,Canceled
214,DZ00215,Yes,2,0,plan 1,0,Type 1,2023,8,13,No,0,0,1163.0,Not_Canceled
215,DZ00216,No,1,2,not selected,0,Type 1,2023,12,5,No,0,0,900.0,Not_Canceled
216,DZ00217,Yes,2,1,plan 1,0,Type 1,2022,10,15,No,0,0,912.5,Not_Canceled
218,DZ00219,No,2,1,plan 1,0,Type 1,2023,10,13,No,0,0,920.0,Not_Canceled
219,DZ00220,Yes,2,2,plan 1,0,Type 1,2022,8,22,No,0,0,579.6,Not_Canceled
220,DZ00221,No,1,0,not selected,0,Type 1,2023,6,8,No,0,0,1110.0,Not_Canceled
221,DZ00222,No,2,2,plan 1,0,Type 1,2023,3,1,No,0,0,880.0,Not_Canceled
222,DZ00223,Yes,2,1,plan 1,0,Type 1,2023,9,5,No,0,0,1209.5,Not_Canceled
223,DZ00224,No,2,2,plan 1,0,Type 1,2023,6,10,No,0,0,1320.0,Not_Canceled
224,DZ00225,Yes,2,0,not selected,0,Type 1,2023,4,14,No,0,0,925.6,Not_Canceled
225,DZ00226,No,2,2,plan 1,0,Type 1,2023,4,1,No,0,0,893.0,Not_Canceled
226,DZ00227,No,2,2,plan 1,0,Type 6,2023,5,27,No,0,0,1796.5,Canceled
227,DZ00228,No,1,2,plan 1,0,Type 6,2022,9,19,No,0,0,2027.5,Not_Canceled
228,DZ00229,No,2,2,plan 1,0,Type 1,2023,3,18,No,0,0,1290.0,Not_Canceled
229,DZ00230,No,1,1,plan 1,0,Type 1,2023,2,5,No,0,0,749.0,Canceled
230,DZ00231,Yes,3,0,plan 1,0,Type 4,2023,5,7,No,0,0,1613.0,Canceled
231,DZ00232,No,2,2,plan 1,0,Type 1,2023,5,12,No,0,0,1371.5,Not_Canceled
232,DZ00233,No,1,2,plan 1,0,Type 1,2023,10,28,No,0,0,920.0,Not_Canceled
233,DZ00234,Yes,2,2,not selected,0,Type 1,2022,10,18,No,0,0,1160.0,Not_Canceled
234,DZ00235,No,2,2,plan 1,1,Type 1,2023,6,21,No,0,0,1271.0,Not_Canceled
235,DZ00236,Yes,2,0,not selected,0,Type 1,2022,8,14,No,0,0,971.3,Not_Canceled
236,DZ00237,Yes,2,1,plan 1,0,Type 5,2023,4,29,No,0,0,1078.4,Canceled
237,DZ00238,Yes,2,2,plan 1,0,Type 1,2023,12,26,No,0,0,1040.0,Canceled
238,DZ00239,Yes,2,2,not selected,0,Type 1,2023,12,2,No,0,0,768.0,Not_Canceled
239,DZ00240,No,2,1,not selected,0,Type 1,2023,4,24,No,0,0,965.0,Canceled
240,DZ00241,No,2,1,not selected,0,Type 1,2023,6,16,No,0,0,1226.0,Not_Canceled
242,DZ00243,Yes,2,1,plan 1,0,Type 1,2022,9,3,No,0,0,1070.0,Not_Canceled
243,DZ00244,Yes,2,2,not selected,0,Type 1,2023,9,14,No,0,0,1020.0,Not_Canceled
244,DZ00245,No,2,1,plan 1,0,Type 1,2023,2,8,No,0,0,823.0,Not_Canceled
245,DZ00246,No,1,0,plan 1,0,Type 1,2022,10,2,No,0,0,1020.0,Not_Canceled
246,DZ00247,No,2,0,plan 1,1,Type 1,2023,3,24,No,0,0,1073.0,Not_Canceled
247,DZ00248,Yes,2,2,plan 1,0,Type 4,2023,5,31,No,0,0,1148.0,Canceled
248,DZ00249,Yes,2,2,plan 1,0,Type 1,2023,8,15,No,0,0,1530.0,Canceled
249,DZ00250,Yes,1,1,plan 1,0,Type 1,2022,11,9,No,0,0,930.0,Not_Canceled
250,DZ00251,No,3,1,plan 1,0,Type 4,2023,8,13,No,0,0,1487.0,Canceled
252,DZ00253,Yes,2,2,not selected,0,Type 1,2023,7,26,No,0,0,827.5,Canceled
253,DZ00254,Yes,2,1,not selected,0,Type 1,2023,5,21,No,0,0,785.0,Not_Canceled
254,DZ00255,Yes,3,1,plan 1,0,Type 4,2023,9,7,No,0,0,1421.3,Not_Canceled
255,DZ00256,Yes,2,0,not selected,0,Type 1,2022,11,15,No,0,0,780.0,Not_Canceled
256,DZ00257,Yes,2,0,plan 1,0,Type 1,2022,9,16,No,0,0,2020.0,Not_Canceled
257,DZ00258,Yes,2,2,plan 2,0,Type 1,2022,10,16,No,0,0,1035.0,Canceled
258,DZ00259,Yes,2,0,not selected,0,Type 1,2023,10,18,No,0,0,1100.0,Not_Canceled
259,DZ00260,No,3,2,plan 2,0,Type 4,2023,7,23,No,0,0,1910.0,Not_Canceled
260,DZ00261,Yes,3,1,plan 1,0,Type 4,2023,6,11,No,0,0,1680.0,Not_Canceled
261,DZ00262,No,2,0,not selected,0,Type 1,2023,1,16,No,0,0,695.0,Not_Canceled
262,DZ00263,Yes,2,1,plan 1,0,Type 4,2022,9,14,No,0,0,805.4000000000001,Not_Canceled
264,DZ00265,No,1,0,plan 1,0,Type 1,2023,10,15,No,0,0,1170.0,Canceled
265,DZ00266,No,2,2,not selected,0,Type 1,2022,9,2,No,0,0,685.3,Not_Canceled
266,DZ00267,No,1,2,plan 1,0,Type 1,2022,8,12,Yes,0,1,20.0,Not_Canceled
267,DZ00268,No,1,0,plan 1,0,Type 1,2022,8,23,No,0,0,20.0,Not_Canceled
269,DZ00270,Yes,2,1,plan 1,0,Type 1,2023,4,15,No,0,0,870.0,Not_Canceled
270,DZ00271,Yes,1,2,plan 1,0,Type 1,2023,3,11,No,0,0,770.0,Not_Canceled
271,DZ00272,Yes,2,0,plan 1,0,Type 1,2023,8,28,No,0,0,1173.7,Canceled
272,DZ00273,Yes,2,0,plan 2,0,Type 1,2023,3,25,No,0,0,1320.0,Canceled
274,DZ00275,No,2,0,plan 1,0,Type 1,2023,6,12,No,0,0,963.5,Not_Canceled
275,DZ00276,Yes,3,1,plan 1,0,Type 4,2023,7,6,No,0,0,1204.6,Not_Canceled
276,DZ00277,No,1,2,plan 2,0,Type 1,2023,6,15,No,0,0,926.0,Canceled
277,DZ00278,Yes,1,1,plan 1,0,Type 1,2023,3,5,No,0,0,849.0,Not_Canceled
278,DZ00279,No,2,2,plan 1,0,Type 1,2022,8,18,No,0,0,973.3,Not_Canceled
280,DZ00281,Yes,3,2,plan 1,0,Type 4,2023,6,18,No,0,0,1244.0,Not_Canceled
281,DZ00282,No,2,0,not selected,0,Type 1,2023,5,9,No,0,0,1181.0,Canceled
282,DZ00283,No,2,1,not selected,0,Type 1,2023,6,28,No,0,0,641.8,Canceled
283,DZ00284,No,2,0,not selected,0,Type 1,2023,3,9,No,0,0,657.5,Canceled
284,DZ00285,Yes,1,2,plan 1,0,Type 1,2023,9,7,No,0,0,1208.0,Canceled
285,DZ00286,No,2,1,not selected,1,Type 1,2023,8,10,No,0,0,1690.0,Not_Canceled
286,DZ00287,Yes,2,3,plan 1,0,Type 6,2023,5,13,No,0,0,1898.5,Not_Canceled
287,DZ00288,No,0,2,plan 1,0,Type 1,2023,4,24,No,0,0,1103.8,Canceled
288,DZ00289,Yes,2,2,plan 1,0,Type 2,2023,9,7,Yes,0,3,20.0,Not_Canceled
289,DZ00290,No,3,0,plan 1,0,Type 1,2023,10,28,No,0,0,1307.0,Canceled
290,DZ00291,No,2,0,plan 1,0,Type 1,2023,3,17,No,0,0,823.3,Not_Canceled
